Model,Hardware,Training Speed (img/s),Inference Speed (img/s),Training Speed CPU (img/s),Inference Speed CPU (img/s),Parameters,FLOPs
WaferSegClassNet,GPU,892.1,2510.5,25.1,89.3,0.51M,0.2B
MobileNetV3,GPU,480.1,1046.0,5.4,18.4,3.2M,219M
ShuffleNetV2,GPU,463.8,912.4,3.9,11.8,1.3M,146M
ViT-Tiny,GPU,142.3,456.7,4.2,12.1,5.7M,1.2B
ResNet18,GPU,66.8,212.4,2.7,7.5,11.2M,1.8B
ResNet50,GPU,45.2,180.3,1.9,5.2,25.0M,4.1B
Swin Transformer,GPU,32.1,125.8,1.2,3.4,28.3M,4.5B
ViT-Base,GPU,28.5,98.2,0.8,2.1,86.3M,17.6B
